iter	Logloss
0	0.6885826277
1	0.6842704441
2	0.680254024
3	0.6764626296
4	0.6731569041
5	0.6698869622
6	0.665592857
7	0.6622829437
8	0.6581275774
9	0.6549267562
10	0.6515833399
11	0.6487123241
12	0.6454162598
13	0.6424541473
14	0.6390627156
15	0.6360529609
16	0.6336465089
17	0.6307869372
18	0.6273706685
19	0.6239697
20	0.6209094835
21	0.6176415734
22	0.6147396254
23	0.6123025314
24	0.6095502273
25	0.6079711914
26	0.6055899081
27	0.6033578126
28	0.6006058817
29	0.5987479998
30	0.596418049
31	0.5939236517
32	0.5916851292
33	0.5898015395
34	0.5879281085
35	0.5860732535
36	0.5838268943
37	0.5814261229
38	0.5796988114
39	0.5778719861
40	0.5760412631
41	0.5738131067
42	0.5717788779
43	0.5700431492
44	0.5684613767
45	0.5664871465
46	0.5645239871
47	0.5623380412
48	0.560859929
49	0.559149908
50	0.5571402674
51	0.5555609827
52	0.5540421527
53	0.5524168429
54	0.5507787622
55	0.5493060402
56	0.547779415
57	0.5465070476
58	0.5449901249
59	0.543791066
60	0.54226187
61	0.5408594712
62	0.5394617164
63	0.538269043
64	0.5368590148
65	0.5358714228
66	0.5345590011
67	0.5333690229
68	0.53188523
69	0.5309055992
70	0.5297479215
71	0.5287174557
72	0.5275059576
73	0.5261327495
74	0.5247219749
75	0.5238166477
76	0.5227025488
77	0.5216190504
78	0.520235269
79	0.5190356711
80	0.518122673
81	0.5169867225
82	0.5156781984
83	0.5147531758
84	0.5138576342
85	0.5126817123
86	0.5114345551
87	0.5107297068
88	0.509992641
89	0.5089896658
90	0.5081923112
91	0.5073140186
92	0.5067982881
93	0.5058346624
94	0.5047436175
95	0.5038383318
96	0.5032311315
97	0.5023725758
98	0.5015255472
99	0.5007944522
100	0.5001326851
101	0.4994700888
102	0.4986154307
103	0.4977686509
104	0.497073754
105	0.4964644391
106	0.4956349083
107	0.4948841593
108	0.4940777654
109	0.4932431345
110	0.4926137095
111	0.4918348893
112	0.491253687
113	0.4905938688
114	0.490029418
115	0.4892822763
116	0.4887747557
117	0.4879908354
118	0.4874267993
119	0.4868523971
120	0.4862477261
121	0.4855519585
122	0.4850641334
123	0.4846326165
124	0.4838182201
125	0.4832666646
126	0.4826010828
127	0.4820085194
128	0.4816257643
129	0.4811943718
130	0.4804374031
131	0.4800098668
132	0.4793764612
133	0.4787754391
134	0.4784574094
135	0.4780465416
136	0.4773979602
137	0.4768821468
138	0.4761670983
139	0.4757447865
140	0.4753849195
141	0.4749146337
142	0.4743139847
143	0.4738617358
144	0.4733402418
145	0.4727741739
146	0.4723306324
147	0.4718843543
148	0.4714818208
149	0.4710566479
150	0.470874123
151	0.4703272529
152	0.4699220243
153	0.4693536344
154	0.4690374706
155	0.468564075
156	0.4680048072
157	0.4676512013
158	0.467205711
159	0.4668485393
160	0.4664635866
161	0.4661691085
162	0.4658460617
163	0.4652913135
164	0.4646725033
165	0.4642984971
166	0.463758054
167	0.4632868559
168	0.4629500845
169	0.4627221149
170	0.4623347573
171	0.4618705252
172	0.4615157583
173	0.4610203867
174	0.4606922813
175	0.4605450008
176	0.4602387055
177	0.4599890087
178	0.4596075804
179	0.4593775376
180	0.4589840848
181	0.458579022
182	0.4581521905
183	0.4575403462
184	0.4572247215
185	0.4568033633
186	0.4564527843
187	0.4561588453
188	0.4558706284
189	0.4555225372
190	0.4552486668
191	0.4549477619
192	0.4546997236
193	0.454397865
194	0.4541549683
195	0.4538274848
196	0.4534845352
197	0.453091497
198	0.4528340879
199	0.4524603305
200	0.4521139808
201	0.4518940552
202	0.4514146058
203	0.4512268564
204	0.4508127959
205	0.4505209715
206	0.4501801366
207	0.4498886025
208	0.4495677533
209	0.4492593019
210	0.4489771801
211	0.4487849526
212	0.4485807004
213	0.4482562438
214	0.4479313311
215	0.4476347799
216	0.4474055249
217	0.4471220763
218	0.4468435619
219	0.4466172923
220	0.4463359584
221	0.445974267
222	0.4456944673
223	0.4453758571
224	0.445202786
225	0.4449906142
226	0.4448094161
227	0.4446059103
228	0.4442293333
229	0.4440180322
230	0.4438783397
231	0.4436157061
232	0.4433677093
233	0.4431285858
234	0.4428734572
235	0.4425626008
236	0.4423061868
237	0.4421034274
238	0.4418156665
239	0.4415948702
240	0.4412635306
241	0.4410677371
242	0.4408590897
243	0.4406853551
244	0.4404183263
245	0.4401431291
246	0.4398709173
247	0.4396026445
248	0.4392181894
249	0.4390225618
