iter	Passed	Remaining
0	138	137976
1	141	70436
2	144	48018
3	148	36917
4	151	30199
5	155	25686
6	159	22598
7	162	20200
8	165	18256
9	168	16677
10	171	15436
11	174	14359
12	177	13497
13	181	12756
14	184	12093
15	187	11511
16	190	11003
17	193	10535
18	195	10096
19	197	9670
20	200	9325
21	202	9003
22	205	8709
23	208	8458
24	210	8205
25	212	7971
26	215	7750
27	217	7534
28	219	7347
29	221	7160
30	223	6986
31	225	6821
32	227	6673
33	229	6522
34	231	6394
35	234	6272
36	236	6146
37	237	6022
38	239	5909
39	241	5799
40	243	5705
41	245	5601
42	247	5503
43	248	5408
44	250	5311
45	251	5218
46	253	5130
47	254	5044
48	255	4961
49	257	4883
50	258	4813
51	260	4744
52	261	4677
53	263	4611
54	264	4548
55	266	4486
56	267	4428
57	268	4368
58	270	4311
59	271	4257
60	273	4205
61	274	4154
62	276	4105
63	277	4056
64	278	4010
65	280	3966
66	281	3925
67	283	3881
68	284	3840
69	286	3800
70	287	3759
71	288	3722
72	290	3686
73	291	3650
74	293	3616
75	294	3580
76	295	3547
77	297	3513
78	298	3479
79	300	3450
80	301	3420
81	302	3390
82	304	3364
83	306	3337
84	307	3310
85	309	3285
86	310	3261
87	312	3235
88	313	3209
89	314	3182
90	316	3158
91	317	3135
92	319	3112
93	320	3089
94	321	3066
95	323	3044
96	324	3022
97	326	3000
98	327	2979
99	328	2957
100	330	2938
101	331	2917
102	332	2897
103	333	2877
104	335	2857
105	336	2838
106	337	2818
107	339	2800
108	340	2782
109	341	2765
110	343	2748
111	344	2731
112	345	2714
113	347	2698
114	348	2682
115	349	2666
116	351	2649
117	352	2633
118	353	2617
119	354	2602
120	356	2587
121	357	2572
122	358	2558
123	360	2545
124	361	2532
125	363	2518
126	364	2505
127	365	2492
128	367	2479
129	368	2467
130	369	2454
131	371	2441
132	372	2429
133	374	2418
134	375	2407
135	377	2396
136	378	2384
137	379	2373
138	381	2361
139	382	2350
140	383	2338
141	385	2328
142	386	2317
143	387	2306
144	389	2296
145	390	2285
146	392	2275
147	393	2265
148	394	2254
149	396	2244
150	397	2234
151	398	2224
152	399	2214
153	401	2205
154	402	2195
155	403	2185
156	405	2176
157	406	2166
158	407	2157
159	409	2148
160	410	2138
161	411	2130
162	413	2121
163	414	2112
164	415	2104
165	417	2096
166	418	2087
167	420	2080
168	421	2072
169	422	2064
170	424	2055
171	425	2047
172	426	2040
173	428	2032
174	429	2024
175	430	2016
176	432	2009
177	433	2001
178	434	1994
179	436	1987
180	437	1980
181	438	1972
182	440	1965
183	441	1958
